iter	Passed	Remaining
574	1887	1394
575	1890	1391
576	1893	1387
577	1896	1384
578	1900	1381
579	1903	1378
580	1906	1374
581	1909	1371
582	1912	1368
583	1916	1365
584	1920	1362
585	1923	1358
586	1926	1355
587	1929	1351
588	1932	1348
589	1936	1345
590	1939	1342
591	1942	1338
592	1945	1335
593	1949	1332
594	1952	1328
595	1955	1325
596	1958	1322
597	1962	1319
598	1965	1316
599	1969	1312
600	1972	1309
601	1975	1306
602	1979	1303
603	1982	1299
604	1985	1296
605	1988	1292
606	1990	1288
607	1994	1285
608	1996	1282
609	1999	1278
610	2002	1274
611	2005	1271
612	2008	1267
613	2011	1264
614	2013	1260
615	2016	1256
616	2019	1253
617	2022	1249
618	2025	1246
619	2028	1243
620	2032	1240
621	2034	1236
622	2037	1233
623	2040	1229
624	2044	1226
625	2047	1223
626	2049	1219
627	2052	1215
628	2056	1212
629	2059	1209
630	2063	1206
631	2066	1203
632	2068	1199
633	2072	1196
634	2075	1193
635	2078	1189
636	2081	1186
637	2084	1182
638	2087	1179
639	2091	1176
640	2094	1173
641	2097	1169
642	2100	1166
643	2103	1162
644	2106	1159
645	2109	1155
646	2112	1152
647	2115	1149
648	2118	1145
649	2121	1142
650	2134	1144
651	2137	1140
652	2140	1137
653	2143	1134
654	2146	1130
655	2149	1127
656	2153	1124
657	2156	1120
658	2159	1117
659	2162	1114
660	2166	1110
661	2169	1107
662	2172	1104
663	2175	1100
664	2178	1097
665	2181	1093
666	2184	1090
667	2187	1087
668	2191	1084
669	2194	1080
670	2197	1077
671	2200	1074
672	2204	1071
673	2207	1067
674	2210	1064
675	2213	1061
676	2216	1057
677	2220	1054
678	2223	1051
679	2226	1047
680	2229	1044
681	2233	1041
682	2236	1038
683	2239	1034
684	2242	1031
685	2245	1028
686	2249	1024
687	2252	1021
688	2255	1018
689	2258	1014
690	2262	1011
691	2265	1008
692	2268	1004
693	2271	1001
694	2274	998
695	2278	995
696	2281	991
697	2284	988
698	2287	985
699	2290	981
700	2294	978
701	2298	975
702	2303	973
703	2306	969
704	2309	966
705	2313	963
706	2316	960
707	2320	956
708	2323	953
709	2326	950
710	2329	947
711	2332	943
712	2336	940
713	2338	936
714	2342	933
715	2345	930
716	2349	927
717	2352	923
718	2355	920
719	2358	917
720	2361	913
721	2364	910
722	2367	907
723	2370	903
724	2373	900
725	2376	897
726	2380	893
727	2383	890
728	2385	886
729	2389	883
730	2392	880
731	2396	877
732	2399	874
733	2402	870
734	2405	867
